gov_ID,Latitude,Longitude,Cnt_Cat1,Cnt_Cat2,Cnt_Cat3,Cnt_Cat4,Cnt_Cat5,Cnt_Cat6,Count,Tag_Cat1,Tag_Cat2,Tag_Cat3,Tag_Cat4,Tag_Cat5,Tag_Cat6,Tags
경상북도 구미시,36.20730964,128.3555555,4,19,6,6,11,0,46,821,3659,31064,281,797,0,36622
경상북도 영주시,36.8704754,128.5976826,16,20,27,11,8,0,82,26666,18194,4230,866,10,0,49966
경상북도 영천시,36.01577844,128.942624,8,21,13,9,13,0,64,1066,11949,1617,72,179,0,14883
경상북도 상주시,36.42950234,128.067007,7,15,11,5,7,0,45,243,1451,151,21,6,0,1872
경상북도 문경시,36.69079151,128.1486082,4,15,14,2,8,0,43,38,2109,2153,8,1266,0,5574
경상북도 경산시,35.83406007,128.8090552,2,15,3,3,7,0,30,78,1407,0,2,421,0,1908
경상북도 군위군,36.17011208,128.6482246,2,8,7,4,3,0,24,430,11527,0,346,5110,0,17413
경상북도 의성군,36.36204451,128.6150673,3,15,5,4,9,0,36,175,5839,841,58,215,0,7128
경상북도 청송군,36.35697643,129.0573852,8,16,12,1,5,0,42,5191,64,2930,0,151,0,8336
경상북도 영양군,36.69638883,129.1450305,8,18,4,4,3,0,37,365,1535,255,15,1,0,2171
경상북도 영덕군,36.48238769,129.3173762,22,22,10,1,3,0,58,379,270,9,0,1,0,659
경상북도 청도군,35.67297478,128.786527,1,14,5,7,7,0,34,4,4714,964,293,23011,0,28986
경상북도 고령군,35.73699758,128.3064496,3,9,0,1,6,0,19,26,1753,0,0,53,0,1832
경상북도 성주군,35.90722342,128.2333931,11,16,6,0,15,0,48,64,510,19751,0,624,0,20949
경상북도 칠곡군,36.01551131,128.4625838,3,2,7,4,7,0,23,43,1017,1658,52,6815,0,9585
경상북도 예천군,36.65384527,128.422384,10,23,10,5,6,0,54,123,11087,541,52,15,0,11818
경상북도 봉화군,36.93414016,128.9129004,15,30,7,2,6,0,60,175,569,593,0,671,0,2008
경상북도 울진군,36.90391313,129.3123186,2,11,11,1,8,0,33,17,12199,2734,1,37,0,14988
경상북도 울릉군,37.50196969,130.864188,3,7,32,0,1,0,43,0,5968,10382,0,4,0,16354
경상남도 창원시 의창구,35.3116142,128.6490422,2,6,4,0,1,1,14,54,16,116,0,4,2682,2872
경상남도 창원시 성산구,35.19887265,128.6715989,1,4,0,1,2,0,8,0,7,0,0,4,0,11
경상남도 창원시 마산합포구,35.13558756,128.4856107,0,6,4,0,2,0,12,0,164,2,0,1,0,167
경상남도 창원시 마산회원구,35.23222659,128.5364332,0,2,2,0,0,0,4,0,154,17,0,0,0,171
경상남도 창원시 진해구,35.12994945,128.7363008,2,3,6,0,13,0,24,6,53235,2,0,1383,0,54626
경상남도 진주시,35.20515765,128.1298011,2,18,10,3,7,0,40,5,105924,8676,1,10,0,114616
경상남도 통영시,34.82941741,128.3740754,2,14,8,1,3,0,28,706,9854,86,0,264,0,10910
경상남도 사천시,35.04970341,128.0376963,1,13,4,1,7,0,26,0,10370,246,8,577,0,11201
경상남도 김해시,35.27215642,128.8452158,2,21,12,0,8,0,43,3981,12649,2361,0,2380,0,21371
경상남도 밀양시,35.4984997,128.7896015,5,15,6,5,8,0,39,1273,11636,300,69,1828,0,15106
경상남도 거제시,34.8706165,128.6231351,1,24,11,0,9,0,45,427,1656,25163,0,25264,0,52510
경상남도 양산시,35.40188821,129.0410414,1,11,40,6,4,0,62,24,2122,960,91,10,0,3207
경상남도 의령군,35.39243102,128.2770578,9,4,8,2,9,0,32,1154,5,1023,9,2072,0,4263
경상남도 함안군,35.29100281,128.4308769,1,30,4,2,11,0,48,6,17246,27,19,39,0,17337
경상남도 창녕군,35.50822773,128.4930519,3,18,7,9,20,0,57,19,840,0,2293,1569,0,4721
경상남도 고성군,35.01630447,128.2906632,2,9,16,0,2,0,29,4,9328,22075,0,6177,0,37584
경상남도 남해군,34.81829098,127.9411405,1,10,16,0,4,0,31,0,1268,1863,0,703,0,3834
경상남도 하동군,35.13830463,127.779049,3,10,10,1,7,0,31,5,33980,3516,27,56,0,37584
경상남도 산청군,35.36859736,127.8843379,12,27,7,6,4,0,56,280,463,1370,25,0,0,2138
경상남도 함양군,35.55160171,127.7220411,6,6,9,5,3,0,29,2062,1928,95566,13,21,0,99590
경상남도 거창군,35.73255219,127.9041696,6,14,7,3,3,0,33,26,8403,37046,0,230,0,45705
경상남도 합천군,35.57657745,128.1415437,4,12,30,9,13,0,68,1534,4426,1766,15468,5473,0,28667
제주특별자치도 제주시,33.44220188,126.5292476,2,30,224,2,5,1,264,791,80171,1877105,13,809,885,1959774
제주특별자치도 서귀포시,33.32504027,126.5810857,6,11,144,0,1,0,162,39017,2214,2116856,0,4,0,2158091
